Name der Klinik;Bewertung;Datum der Bewertung;Sternebewertung;Likes
DIAKOVERE Henriettenstift;"Nach kurzem Chaos bei der Aufnahme hat alles gut geklappt.
Nettes Personal das auf meine Bedürfnisse und Fragen nach Möglichkeit erfüllt und beantwortet.
Weiter so.
Kann ich nur empfehlen.
??";vor einem Jahr;4;Keine
DIAKOVERE Henriettenstift;In der Notaufnahme hat das Krankenhaus einen guten Eindruck gemacht. Kurze Wartezeit und kompetente Behandlung. Stationär war es ein einziges Desaster, keine Ansprechpartner, niemand fühlt sich für Patienten zuständig, der Arzt hatte es offenbar leider sehr eilig und keine Zeit für Patientenanliegen. Falls jemand hier einen längeren Aufenthalt plant rate ich nur dazu, Nahrungsmittel mitzunehmen. Zum Frühstück und Abendbrot (9:45 Uhr, 17:00) gibt es lediglich zwei Scheiben Brot, beim Mittagessen, wo es laut Speiseplan Auswahl inklusive Dessert gibt, wird einfach irgendetwas vorgesetzt und das Dessert unterschlagen.;vor einem Jahr;1;6
DIAKOVERE Henriettenstift;"Ich bin mit dem Personal äußerst zufrieden. Egal ob Narkose, Operation, aufwachen oder die Pflege auf der Station. Äußerst positiv überrascht!
Zimmer sind in einem super Zustand (Station 5)
Danke für den netten Aufenthalt";vor 2 Jahren;5;Keine
DIAKOVERE Henriettenstift;"Super Krankenhaus

Ich war auf Station 5. Ich wurde am Knie operiert. Was ein anderes Krankenhaus nicht geschafft hat, verlief hier tadellos. Und hier wurde man wie ein Mensch behandelt und nicht nur wie eine Nummer.

Eines der besten Krankenhäuser Hannovers. Ich kann es nur empfehlen. Der Mensch steht hier wirklich an erster Stelle.

Danke an alle Pfleger, Ärzte und OP Personal. Top Aufenthalt !";vor einem Jahr;5;4
DIAKOVERE Henriettenstift;Sehr nette und hilfsbereite Pfleger und Schwestern und Ärzte.gutes Gesamtpaket. Geben sich alle Mühe. Kleines Manko ist die Essensversorgung. Frühstück 9 Uhr Mittag 12 Uhr Abendessen 17/17:30. Geschmacklich gut.;vor einem Jahr;5;1
DIAKOVERE Henriettenstift;Ein super Krankenhaus in dem sie sich absolut gut und kompetent  um einen kümmern. ALLES SUPER;vor einem Jahr;5;1
DIAKOVERE Henriettenstift;Die Radiologie befindet sich im Keller, was etwas gruselig ist. Das MRT wirkt dann umso mehr wie ein Sarg. Aber alles geht hier zügig voran und die Mitarbeiterinnen sind sehr freundlich.;vor einem Jahr;4;Keine
DIAKOVERE Henriettenstift;Sehr liebe Mitarbeiter allesamt, allerdings leider zu wenig Personal vorhanden;vor 9 Monaten;4;Keine
DIAKOVERE Henriettenstift;"Ich wurde als chirurgischer Notfall im Henriettenstift behandelt.
Alle Mitarbeiter waren kompetent und freundlich, obwohl ich sehr aufgelöst war.
Meine Angst wurde mir schnell genommen.
Die negativen Eindrücke in den Bewertungen kann ich nicht teilen. Es sollte sich jeder sein eigenes Bild machen.
Vielen Dank nochmal an das Team.";vor 2 Jahren;5;2
DIAKOVERE Henriettenstift;Unfassbar! Meine demenzkranke Mutter wurde in der Covid-Zeit eingeliefert. Ein COPD-Anfall. Natürlich wurde sie auf Covid untersucht. Als Angehörige wurde ich telefonisch abgewimmelt - Datenschutz! Ich würde vertröstet, keine Nachfragen zu Vorerkrankungen,  nach einer Patientenverfügung wurde ich nicht befragt. Tipps zum Umgang nicht weiter gegeben! Ich bin wirklich fassungslos!;vor einem Jahr;1;2
DIAKOVERE Henriettenstift;Ich wurde hier Operiert. Hatte extreme Ängste weil das mein erstes mal sein würde. Die Op Vorbereitung war super lustig die Narkoseärztin hat einen lustigen spruch nach dem anderen gemacht so das ich gar keine angst mehr hatte. Auch die Ärztin war sehr verantwortungsbewusst. Nur das Essen war nicht sehr appetitlich aber im ganzen bin ich zufrieden. Vielen Dank;vor einem Jahr;4;Keine
DIAKOVERE Henriettenstift;Sehr lange Wartezeiten;vor 5 Monaten;2;Keine
DIAKOVERE Henriettenstift;Ich wurde als Notfallpatient in der Ambulanz aufgenommen und war rundherum beeindruckt. Ich wurde von einer sehr netten, fachkompetenten Ärztin behandelt und die Organisation war super. Leider musste ich auf die Überwachungsstation. Auch hier fühlte ich mich sehr gut aufgehoben. Alle waren super nett und motiviert. Sehr liebes Personal und kompetente Ärzte und Ärztinnen kümmerten sich um mich. Das Henriettenstift ist sehr zu empfehlen.;vor 2 Jahren;5;2
DIAKOVERE Henriettenstift;Bin gestern hier an der Schilddrüse operiert worden. Ich habe mich noch nie in einem Krankenhaus so gut aufgehoben gefühlt wie hier. Sabrina von der Aufnahme/Schleuse, der Transportdienst, die OP Leute, der Mitarbeiter im Aufwachraum und die Stationsleute von der 6: Ihr seid alle super! Meinen allerherzlichsten Dank! Bis zum Einschlafen wurde ich zum Lachen gebracht und im Aufwachraum ging der Spaß dann weiter!;vor einem Jahr;5;Keine
DIAKOVERE Henriettenstift;"Schwestern sind Top.
Organisiert freundlich und klar.
Ärzte hingegen sind schrecklich.
Unorganisiert unverständnisvoll und unfreundlich!";vor einem Jahr;2;Keine
DIAKOVERE Henriettenstift;"Habe 3 Tage im henrierrenstift wegen einer OP verbracht, zunächst Stationen 5 dann Station 6
Es fällt sofort auf dass das Team sehr freundlich ist und sich wirklich um die Patienten kümmert. Man wird nicht wie eine Nummer behandelt sondern hat hier und da auch mal Zeit für persönliche Worte. Sogar bei der OP Vorbereitung werden Späße gemach - ist wirk entspannend.
Nur das Essen hat mir nicht gut gefallen: offensichtlich wird hier sehr sparsam kalkuliert.";vor einem Jahr;4;Keine
DIAKOVERE Henriettenstift;Ich hatte vergangenes Jahr eine sehr schwere Erkrankung und mir stand eine große Operation (plus eine Kleine) bevor. Ich wurde in fast allen Krankenhäusern Hannovers (mehr oder weniger erfolglos) behandelt und kam zuletzt in das Henriettenstift. Dort verbrachte ich zweimal mehrere Wochen auf der Chirugie Station. Ich bin unendlich dankbar für die großartige und sehr liebevolle Pflege des Personals und der hohen Qualität der Behandlung/Operation! Im Vergleich wirklich das beste Krankenhaus! Danke an das tolle Team der Chirugiestation, ihr leistet täglich Großartiges und rettet Leben!!!;vor einem Jahr;5;2
DIAKOVERE Henriettenstift;"Ich habe die Klinik als Notfall aufgesucht.
Leider konnten die Ärzte  mein Erythema Migrans als solches nicht identifizieren. So wurde ich schwanger und mit starken Beschwerden wieder weggeschickt.";vor einem Jahr;1;3
DIAKOVERE Henriettenstift;Wir waren gestern in der Notaufnahme, ich habe die letzten Monate einige Krankenhäuser gesehen. Ich muss sagen es hat zwar sehr lange gedauert, aber es waren alle super nett. Es wurden etliche Untersuchungen gemacht um sicher zu stellen was es ist. Wir als Betreuung wurden auch mit genauso viel Herzlichkeit wie die Patienten aufgenommen!  Ich hatte ein sehr gutes Gefühl und fand meinen Vater sofort gut aufgehoben! Vielen Dank an das Personal für diese tolle Aufnahme und die super tolle Arbeit ich würde meine Familie sofort wieder dort hinbringen.;vor 4 Jahren;5;1
DIAKOVERE Henriettenstift;Bei Problemen wird schnell geholfen.;vor einem Jahr;4;Keine
DIAKOVERE Henriettenstift;"Ich war am Samstag mit meiner Tante in der Notaufnahme des Henriettenstifts. Wir wurden mit dem Rettungswagen eingeliefert. Meine Tante hatte den Verdacht auf Schlaganfall. 1.mussten wir erstmal fünf Minuten warten bevor überhaupt ein Pfleger kam,dann wurde meine Tante zur Untersuchung gebracht. 2.
Mein Onkel wurde an der Information wirsch abgewunken. Die junge Dame dort war sehr unhöflich und hatte scheinbar nur ihr Handy im Auge. 3.Es waren nur zwei Pfleger und eine Assistenzärztin zu gegen. Der eine Pfleger wusste am Ende noch nicht einmal wer die Patientin war(ich oder meine Tante) Auf Ergebnisse einer Blutuntersuchung wurde nicht eingegangen. Auf Nachfrage hieß es nur,dass es wohl in Ordnung wäre,da die Ärztin nichts mehr gesagt hat. Auf diesen Bericht wurde dann fast eine Stunde gewartet.Sowas geht gar nicht. Die Ärztin war total überfordert. Nach mehrmaligen bitten um ein Glas Wasser hatte meine Tante dies immer noch nicht. Andere Maßnahmen wie ein MRT könnte vor Montag nicht durchgeführt werden,weil kein Arzt zu gehen wäre. Ein Unding meiner Meinung nach. Wenn man krank ist sollte man wohl lieber mit dem Kopf unter dem Arm kommen damit einem auch wirklich gleich geholfen wird. Ich kann das Henri wirklich nicht empfehlen.";vor einem Jahr;1;4
DIAKOVERE Henriettenstift;Unfreundliche Ärzte und Krankenschwestern!! Lange  Wartezeiten !! 0 Einfühlsvermögen. EXTREM RASSISTISCH !!!! AUSLÄNDERFEINDLICHKEIT !! ICH MUSSTE MIT MEINEN NERVEN DIE AM ENDE WAREN 5 STUNDEN LANG WARTEN UND DURFTE DEN PATIENTEN (MEIN EHEPARTNER) IN DER NOTAUFNAHME ( UNTERSUCHUNGSRAUM) NICHT MAL BLICKEN. WEDER INFORMATION NOCH ERKLÄRUNGEN WURDEN WEITERGEGEBEN!! NACH MEHRMALIGE STREITEREIEN UND AUFFORDERUNGEN  UM NUR EINE WINZIGE KLEINE INFO ÜBER SEINEM ZUSTAND ZU KRIEGEN  HAT MICH UND MEINE NERVEN  5 STUNDEN LANG GEKOSTET !!!!!! ALS ICH ENDLICH MIT ACH UND KRACK REIN DURFTE WAR ER BEÄNGSTIGEND MIT EINER INFUSION ALLEINE WARTEND NACH EINER ÄRZTLICHE AUFKLÄRUNG !!! WOBEI JEDER ZWEITE REIN DURFTE !!!!  SO EIN MIST !! NOCH NIE SOWAS ERLEBT !!;vor einem Jahr;1;4
DIAKOVERE Henriettenstift;Ich hab noch nie solch respektlose Mitarbeiter/innen gesehen. Einfach nur freches und absolut respektloses Verhalten. Ich würd am liebsten 0 Sterne geben.;vor 2 Jahren;1;6
DIAKOVERE Henriettenstift;"Ich war wegen ein OP am Srunggelenk dort.
Mal ein ganz dickes Lob an das gesamte Personal. Alle egal ob Pflege oder Ärzte nehmen sich die Zeit um genau zu erklären was sie tun und warum und das ungefragt.
Der kurze Stationäre Aufenthalt empfand ich als sehr angenehm.
Die Zimmer sind modern und sehr sauber wie auch der Rest des Hauses.
Alle sind stets freundlich und wirken zufrieden.
Noch mal ein Danke an alle von Station 5, Anestesie und aus dem OP.";vor einem Jahr;5;1
DIAKOVERE Henriettenstift;Ärzte für ein Gespräch nicht erreichbar. Schwestern total überfordert. Kenne einige Krankenhäuser, aber hier ??? MEINE MEINUNG : GEHT ÜBERHAUPT NICHT....;vor 2 Jahren;1;6
DIAKOVERE Henriettenstift;Hallo ich wurde vom Zoo Hannover zu Ihnen gebracht und muss sagen, ich fand mich zu jeder Zeit dort gut aufgehoben, betreut und versorgt. Vielen lieben Dank noch mal auch wenn es nur ein Nachmittag in der Notaufnahme war. Mit freundlichen Grüßen Ralf Gemeinhardt;vor 4 Jahren;5;Keine
DIAKOVERE Henriettenstift;Sehr gutes Personal... sehr nett.... op Aufklärung nur top...;vor einem Jahr;5;Keine
DIAKOVERE Henriettenstift;Echte Teamplayer in der Notfallambulanz! Zugewandt und kompetent.;vor einem Jahr;4;Keine
DIAKOVERE Henriettenstift;"War zur Schilddrüsenentfernung im Henri. Wurde vom Erstgespräch bis zur Entlassung gut betreut. Sehr gute OP-Aufklärung und Nachbetreuung, der Eingriff verlief ohne Probleme.
Hätte mir allerdings gewünscht, dass das Pflegepersonal sich auch mal namentlich vorstellt.
Verpflegung war völlig in Ordnung, ein Krankenhaus ist nun mal kein Sternelokal.";vor 2 Jahren;5;4
DIAKOVERE Henriettenstift;Meine 80 jährige Oma wurde nach der Erstversorgung der Notaufnahme mit einem Kieferbruch und ihren blutverschmierten Klamotten auf dem Stationszimmer auf einen Stuhl gesetzt, von dem sie sich nicht selbst fortbewegen konnte. Man hatte sie bereits mehrere Stunden warten lassen, bis ich einen Pfleger darauf aufmerksam machte, jemand möge bitte kommen und zumindest ein frisches Nachthemd bringen. Dieser entgegnete völlig geistesabwesend, dass sich eine Schwester im nebenzimmer der Rezeption befinde. Was gerade ich mit dieser Information anfangen soll, ist fraglich. Nach Absprache mit der besagten Schwester, weiteren 45 min Wartens und der Notwendigkeit, den Notruf zu bedienen, welcher auch erst nach einer Viertelstunde wahrgenommen wurde, kam endlich die Schwester mit dem Nachthemd und Handtüchern. Insgesamt ein sehr nachlässiger, verantwortungsloser Umgang mit den Patienten und ein unsicheres Gefühl der Behandlung des Patienten. Schade.;vor 2 Jahren;1;9
DIAKOVERE Henriettenstift;"Nach längerem Suchen und einer weniger guten Erfahrung bei einem Kinderzahnarzt haben wir unseren 4-jährigen Sohn hier in der Mund- und Kieferchirurgie behandeln lassen. Ihm wurden unter Vollnarkose zwei Backenzähne gezogen und drei weitere Zähne gefüllt.
Von der Terminvergabe an bis hin zur Nachversorgung fühlten wir uns hier sehr gut aufgehoben und beraten. Da die Klinik nicht das volle Leistungsspektrum, wie z.B. bei einem Kinderzahnarzt anbietet, wurde bereits zur Beratung die kieferorthopädische Abteilung hinzugezogen. Dort wird unser Sohn nach dem Abheilen der Wunden weiterbehandelt.
Vielen Dank! Wir werden die Klinik gerne weiterempfehlen!";vor 2 Jahren;5;1
DIAKOVERE Henriettenstift;Selten so freundliche Menschen erlebt;vor einem Jahr;5;Keine
DIAKOVERE Henriettenstift;nein;vor 8 Monaten;2;Keine
DIAKOVERE Henriettenstift;Ich wurde am Empfang sehr gut informiert wie ich in die neue Chirurgie komme, z.B. Stat. 5 . Alle Personen waren nett und freundlich,  was mir auch von den Patienten bestätigt wurde.;vor 3 Jahren;4;1
DIAKOVERE Henriettenstift;"Ich sitze in der Notaufnahme mit Atemnot und Schmerzen, aber es werden Leute vorgelassen die total gesund aussehen und später da waren als ich.
Sehr inkompetent und unverständlich!";vor 2 Jahren;1;5
DIAKOVERE Henriettenstift;Super unfreundliche Ärztin beim MRT (nicht beim Empfang). Ich Frage höflich, ob ich evtl. bei der Übersetzung behilflich sein kann und werde angepampt, warum ich denn helfen wolle. Sie mache das auf Englisch, wo sei denn das Problem und warum solle ich helfen. Das ganz dann in einer dementsprechenden Tonlage, als wäre ich heiß darauf den Dolmetscher zu spielen. Dabei half ich bereits bei Empfang einem fremden und nicht meinem eigentlichen Freund, mit dem ich dort war. Allein deshalb: Nie wieder!;vor 4 Jahren;1;7
DIAKOVERE Henriettenstift;Schrecklich unfreundliche, inkompetente, freche, genervte, zickige und überhebliche Krankenschwestern.  Am Morgen vom 17.12. dort gewesen.  Furchtbares Personal.  Das schlechteste Krankenhaus in Hannover.  Leider schon  immer in schlechter Erinnerung gehabt diesen Laden.  Notfallaufnahme unter aller Sau.  Nach wie vor.  Fahrt lieber paar Minuten länger und lasst euch von freundlichen und hilfsbereiten Menschen helfen als in diese Anstalt Für schwer-erziehbare Krankenschwestern zu gehen.;vor 3 Jahren;1;9
DIAKOVERE Henriettenstift;Krankenhaus nicht sodern Schlachthaus. Ich hasse dieses Schalchthaus;vor 2 Jahren;1;3
DIAKOVERE Henriettenstift;"Ich habe mit dem Henriettenstift nur gute Erfahrungen gemacht.
Vor ca 1 Monat wurde ich dort operiert und stationär aufgenommen.
Zuvor war ich einige Male dort um mich beraten zu lassen und die nächsten Schritte zu besprechen. Schon in der Zeit vor der Op, habe ich mich zu jeder Zeit gut beraten gefühlt.
Die Ärzte, die mich in dieser Zeit betreut  und später auch opertiert haben, sind wirklich toll. Sowohl menschlich als auch fachlich.
Und auch der ganze Ablauf vor und nach der Op war sehr gut organisiert.

Auf der Station, auf der ich mich nach der Operation befand waren alle sehr freundlich.
Ich kann mich nicht erinnern auch nur für einen Moment Schmerzen gehabt zu haben.
Daher ein großes Lob und vielen Dank an alle!

Und selbst bei der Nachsorge wird man nicht allein gelassen.

Ich kann den Henriettenstift nur jedem empfehlen und kann die zum Teil schlechten Bewertungen hier überhaupt nicht verstehen.";vor 3 Jahren;5;1
DIAKOVERE Henriettenstift;"Tja da denkt man es kann einem nicht passieren und liegt 2 Monate später selber hier.

Es ist sicher kein Ort an dem jemand seine Zeit verbringen möchte aber kurz zu meinem Aufenthalt.

Vom ersten Tag Vorbesprechung -Operation und Nachbehandlung kann ich nur sagen Top.
Schneller Ablauf -sehr gute Erklärung während der ganzen Zeit und super freundliche Behandlung von allen Mitarbeitern.

Ganz grossen Gruss an Station 5 alle super freundlich, wirklich kein einziger negativer Punkt .
Es wurde sich super gekümmert.

Weiter so .

Zu einigen negativen Bewertungen :
Ich arbeite selber im Dienstleistungsgewerbe und bin immer sehr freundlich ,aber manche Menschen denken echt Sie sind die einzigsten um die sich gekümmert werden muss.

Ich möchte diesen Job nicht machen und finde es echt toll das es Leute gibt die sich dafür entscheiden.
Und jeder hat mal einen guten und schlechten Tag.Es kommt sicher auch auf die Art und Weise an wie man jemanden gegenübertritt .

Gruss Dennis P.";vor 2 Jahren;5;Keine
DIAKOVERE Henriettenstift;"Freundliches Personal und modernes Klinikum. Der ""kleine Park"" auf der Rückseite ist für mobile Patienten und auch für Mitarbeiter an einem sommerlichen Tag Gold wert! :)";vor 2 Jahren;4;Keine
DIAKOVERE Henriettenstift;Dank dem Personal des Henriettenstiftes war mein kurzer Aufenthalt und die OP sehr angenehm zu ertragen. Diese Erfahrung begann beim allerersten Kontakt in der Aufnahme, begleitete mich enspannt durch die OP und endete in der Station 5. Wirklich alle Mitarbeiter / innen waren ausgesprochen freundlich, hilfsbereit und vermittelten nie den Eindruck, nicht genug Zeit für mich als Patienten zu haben.Auch der behandelnde, sehr freundliche und empathische Chirurg der Station 5 erklärte vor der OP und danach alle Schritte und war jederzeit ansprechbar. Es war wirklich auffällig, wie jeder vom Team des Krankenhauses einen guten Job im Sinne des Patienten gemacht hat.;vor 2 Jahren;5;1
DIAKOVERE Henriettenstift;"Hallo,
das Krankenhaus gefällt mir  nicht
Überhaupt nicht organisiert.
Sollten besser ihre Besucher  bedienen
Das ist meine Meinung";vor 4 Jahren;1;5
DIAKOVERE Henriettenstift;Unfreundliche Ärzte und lange wartezeiten 0 Einfühlsvermögen.Jeder kann studieren aber diese „Ärzte“ wie sie sich nennen haben sich meiner meinung nach ihewn Beruf falsch gewählt.Was die Ärzte teilweise von sich geben ist echt unterste Schublade.Man wird Samstag/Sonntag nicht behandelt und muss 2 Tage sinnlos warten.. echt traurig;vor 2 Jahren;1;4
DIAKOVERE Henriettenstift;okay gelaufen;vor einem Jahr;4;Keine
DIAKOVERE Henriettenstift;Ich finde es nicht sehr lustig, das ich seit tagen versuche die klinik zu erreichen teilweise stunden lang und niemand ran geht. Dabei meinte mein Artzt ich solle schnell dahin und solle zügig ein termin bekomme können bzw muss, aber das Funktioniert wohl ehr garnicht. Ich soll in die Psychosomatische abteilung damit es mir wieder besser geht und wieder ein leben führen können. Doch wahrscheinlich werde ich nie jemanden ans telefon bekommen oder erst in 6 monaten bis 1 jahr später erst ein termin bekommend, wo es dann zu spät sein könnte;vor 2 Jahren;1;1
DIAKOVERE Henriettenstift;"Die Betreuung während der Schwangerschaft super. Es wurde immer ausführlich untersucht und man wurde auch immer ernst genommen.
Die Hebamme während der Geburt war hervorragend und blieb extra noch länger bis meine Beiden da waren. Einer der Ärzte hingegen hat mich dagegen mehrfach angeschrien und gedroht das alle den Kreißsaal verlassen wenn ich mich nicht zusammen reiße. (Sorry das eine Geburt nun mal sch... weh tut) Das fand ich ganz schön erschreckend.
Die Schwestern auf der Station waren sehr freundlich und stets hilfsbereit.
Die Hygiene hingegen ist unter aller Würde. Mir ist in der Nacht zum Freitag die Fruchtblase im Zimmer geplatzt und es wurde am Sonntag das erste mal gewischt und das nur weil wir die Putzfrau darum ausdrücklich gebeten haben. In einem Krankenhaus und mit Neugeborenen ein absolutes No Go.";vor 2 Jahren;3;4
DIAKOVERE Henriettenstift;"""...weil wir hier keinen operierenden Chirurgen haben und ihn deshalb zurück geschickt haben"" ich fragte sie wann es denn aufgefallen war, dass niemand dort operieren kann und sie sagte ernsthaft ""passiert ihnen doch auch auf der Arbeit oder?"" ...Ernsthaft?? Ich arbeite bei JB am Ecounter und wenn wir Personalmangel haben, bekommen die Gäste dennoch Qualitätsgetreu ihren Essen! Die Aussage der guten Frau ist unterste Schublade und basiert wohlmöglich auf einer 72h Schicht. Anders kann ich mir die Attitude nicht erklären.
Ich rief dann auch in der Henriettenstift an um zu erfahren ob man mir mitteilen kann wie lange so eine Knie OP schätzungsweise dauern kann und wie lange er brauchen wird um aus der halben Narkose zu erwachen. 2 Mal teilt mir die gute Frau mit, dass die OP um 11 geplant ist. 2 Mal frage ich sie WIE lange diese dauern wird, worauf sie genervt antwortet, wenn ich denn wüsste wann die OP beginnt, warum ich denn noch nachfrage?! Auch hier basiert die unfreundlichkeit der guten Frau auf einer 72h Schicht oder so. Anders ist das ganze nicht zu erklären! Um 14 Uhr erkundigte ich mich erneut und man teilte mir diesmal sehr freundlich mit, dass er bald aus der OP kommt und er ungefähr gegen 20 Uhr sicher ansprechbar sei. Um 18 uhr als ich endlich frühzeitig feierabend hatte und mich erneut erkundigte, war er ansprechbar und ich fuhr direkt zu ihm.
Im KH weigerte sich die Ärztin uns 2 der Spritzen mit zu geben und fragte ob mir das KH Siloah (und ein anderes, welches mir grad nicht mehr einfällt) bekannt sei und ich wüsste was ein ein Hausarzt ist...?! ich fragte sie wiederholt ob er in seinem Zustand extra ins Siloah soll nur um die Spritzen zu bekommen, als sie ENDLICH nachgab und uns 2 mit gab!!!! ""Ich habe Sie heute ganz oft angerufen. Leider sind Sie nicht ein Mal ran"" Daraufhin teilte ich ihr mit, dass ich 1. nicht angerufen wurde und 2. auf der Arbeit war. Kann mir einer erklären was das ganze soll? In welchen Zeitlichen Abständen er die Spritzen nutzen soll, wurde uns auch nicht mitgeteilt. Ich musste mich extra telefonisch noch Mal erkundigen.";vor 2 Jahren;1;2
DIAKOVERE Henriettenstift;Wir wurden hier im Sommer abgewiesen mit akuten Rückenschmerzen,sind dann in die MHH.Der Weg war auch umsonst,bei der Behandlung von Schnittverletzungen gut;vor 3 Jahren;3;1
DIAKOVERE Henriettenstift;Den einen Stern habe ich lediglich nur gedrückt, damit ich hier schreiben kann. Meine Großmutter wurde mit einem normalen Zustand eingeliefert, nun liegt sie im Sterben. Eine Woche nach der Einlieferung wollte man mit einem guten Zustand entlassen, ein Tag später hatte sie eine dicke Lungenentzündung. Bereist als sie Fieber hatte und meine Mutter die Ärztin bat, ihr Antibiotika zu geben, sagte sie, bekommen sie immer Antibiotika wenn sie Fieber haben? Ab da ging alles nur bergab!! Über Wochen hat sie nicht mal einer vernünftig gewaschen oder sonstiges. Uns wurde ständig in einem unfreundlichem Ton gesagt, dass sie das KH eher nicht verlassen wird und die Therapie sollte eumgestellt werden! Sie solle nur Morphium bekommen, sie habe ja so viele Krankheiten! Ich habe mich noch niemals so gefühlt wie hier. Sie lag schon oft in einem KH  aber niemand hat uns wie Müll behanelt und versucht, die Therapie zu unterbinden. Wir leben in Europa und gewisse Standards müssen erfüllt werden , auch wenn ein Mensch alt ist, ist er oder sie lange kein Müll sowie die Angehörigen, die einfach für das Leben des Memachen, den sie lieben kämpfen wollen!!!;vor 3 Jahren;1;13
DIAKOVERE Henriettenstift;Trotz unterbesetzung haben die Schwestern und pfleger übermenschliches geleistet immer ein Lächeln auf den Lippen und immer freundlich und hilfsbereit ein super Service ein super Team auf Station 1, vielen Dank ich weiß das ich nicht einfach war, danke für alles euer Ralf huttner;vor 4 Jahren;5;3
DIAKOVERE Henriettenstift;"Also ich finde das krankenhaus sehr modern. Es gibt aber auch hier leider nette und weniger nette schwestern. Deren Job ist ja auch hart, aber wenn ihr seht, dass ein Patient nett ist, könnt ihr eure wut dann nicht an den arschlöchern auslassen und denen 3x krumm in den arm pieksen? :'( wenn man im kh ist geht es einem doch schon schlecht.
Preistipp ist der Kaffeautomat vorm Aufzug im Keller.";vor 4 Jahren;3;2
DIAKOVERE Henriettenstift;Das wohl schlechteste Krankenhaus in Hannover. Ärzte, die in der Notaufnahme sorglos frei herumlaufen und Patienten mit Schmerzen und Beschwerden absolut nicht wahrnehmen und alleine lange warten lassen. Bei jeglicher Bemerkung an die Personal ist eine freche Antwort garantiert. Ich kann nur den allgemeinen Zustand auf der 2. Etage bewerten und muss sagen, dass es sich dort eher wie in einer Psychiatrieanstalt aus den 30en Jahren aus den Horror-Filmen anfühlt als in einem anständigen, modernen Krankenhaus. Lassen Sie sich mit der sanierten Empfangshalle nicht täuschen. Richtige Hilfe bekommt man hier nicht, man wird hier lediglich prozessiert. Die schlechteste Entscheidung, die der Rettungsdienstfahrer machen konnte war mich in das Krankenhaus bringen.;vor 7 Jahren;1;10
DIAKOVERE Henriettenstift;"Moin, ich bin dort schon länger in Behandlung, chirurgische Ambulanz und Anfang dieses Monats dann OP mit Intensiv Aufenthalt und Normalstaion. Statiob 3b. Eine Seite des Bettenhauses ist schon renoviert und jedes Zimmer hat auch ein recht ansehnliches grosses Bad. Im unrenoviertem Teil, halt alles auf dem Flur, Dusche, WC. Tja, dies ist halt so, bis das neue Bettenhaus steht.
Die vielen negatives Bewertungen kann ich nicht verstehen. Und ich bin selbst Krankenschwester, zwar Jahrelang schon nicht mehr im Beruf aber ich kann das schon objektiv beurteilen.

Man mus sauch bedenken, Das Oststadtkrankenhaus wurde dicht gemacht und so hat auch das Henriettenstift mehr Patienten als es vorgesehen ist. Das da mal etwas auf der Strecke bleibt völlig logisch !

Ich bin Kassenpatienten und jeder Arzt/meist Oberarzt nahm sich viel Zeit , die Schwestern machten Ihren Job,  ok mit Abstrichen. Ich habe kein einziges Mal dort erlebt das jemand in ein Bett gelegt wurde das gebraucht war, das halte ich für eine schlichtwege Lüge. Die haben dort ziemlich gut organisiert einen Betten Putzdienst der sofort bei entlassung eines Patienten aufs Zimmer kommt und das Bett putzt und frisch überzieht. Habe ich mehrfach erlebt und die entlassenen Patienten waren da zum Teil auch noch im Zimmer, halt am Tisch sitzend. So schnell ging das !
Das essen kam pünktlich von einem extra Dienst ausgeteilt und es wurde auch jeden Tag das Zimmer geputzt !
Alles in allem würde ich dort zu jeder zeit wieder hingehen.";vor 4 Jahren;5;Keine
